Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Call Me,Blondie,"January 29, 1980","Dance-rock, punk rock, new wave, Eurodisco",2:15,"Polydor, Chrysalis, Salsoul","Debbie Harry, Giorgio Moroder",Giorgio Moroder,,,29 01 1980
Candle in the Wind 1997,Elton John,13 September 1997,Pop rock,3:59,"Rocket, A&M","Elton John, Bernie Taupin",George Martin,,,13 September 1997
Candy Shop,"50 Cent, Olivia","February 8, 2005",East Coast hip hop,3:29,"Interscope, Aftermath, Shady, G-Unit","Curtis Jackson, Scott Storch",Scott Storch,,,08 02 2005
Can't Buy Me Love,the Beatles,16 March 1964,"Rock and roll, pop rock, R&B",2:11,"Parlophone, (UK),  Capitol, (US)",Lennon–McCartney,George Martin,,,16 March 1964
Can't Feel My Face,the Weeknd,"June 8, 2015","Pop, disco, funk, electro",3:35,"XO, Republic","Ali Payami, Savan Kotecha, Max Martin, Abel Tesfaye, Peter Svensson","Max Martin, Ali Payami",,,08 06 2015
Can't Fight This Feeling,REO Speedwagon,"December 17, 1984","Soft rock, arena rock",4:54,Epic,Kevin Cronin,"Kevin Cronin, , Gary Richrath, , , Alan Gratzer",,,17 12 1984
"Can't Get Enough of Your Love, Babe",Barry White,"June 28, 1974","Philadelphia soul, proto-disco",3:28,"Philips, 20th Century Fox",Barry White,Barry White,,,28 06 1974
Can't Help Falling in Love,Elvis Presley,"November 21, 1961","Pop, easy listening",2:59,RCA Victor,"Hugo Peretti, Luigi Creatore, George David Weiss",Elvis Presley (Joseph Lilley for Paramount Pictures),,,21 11 1961
Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton","August 16, 2011","Industrial hip hop, pop rap, experimental pop",4:18,"Macklemore LLC, Elektra","Ben Haggerty, Ryan Lewis, Ray Dalton",Ryan Lewis,,,16 08 2011
Can't Nobody Hold Me Down,"Puff Daddy, Mase","January 7, 1997",Hip hop,3:52,"Bad Boy, Arista",Mason Betha,"Nashiem Myrick, Carlos Broady, Sean ""Puffy"" Combs, Stevie J",,,07 01 1997
Can't Stop the Feeling!,Justin Timberlake,"May 6, 2016","Disco-pop, soul-pop",3:58,RCA,"Justin Timberlake, Max Martin, Shellback","Timberlake, Martin, Shellback",,,06 05 2016
Cardigan,Taylor Swift,"July 27, 2020","Folk, indie rock, soft rock",4:00,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner,,,27 07 2020
Careless Whisper,George Michael,20 July 1984,"Pop, soul, R&B, quiet storm",6:30,"Epic, Columbia, Sony","George Michael, Andrew Ridgeley","George Michael, Jerry Wexler, (original)",,,20 July 1984
Caribbean Queen,Billy Ocean,1984,"Post-disco, funk, -, pop",7:52,Jive,"Billy Ocean, Keith Diamond",Keith Diamond,,,1984
Carnival,"¥$, Rich the Kid, Playboi Carti, [a]","February 15, 2024",Hip Hop,4:24,YZY,"Ye, Tyrone Griffin, Jr, Dimitri Roger, Jordan Carter, Mark Williams, Grant Dickinson, Raul Cubina, The Legendary Traxster","Ye, Ty Dolla Sign, Ojivolta, TheLabCook, The Legendary Traxster",,,15 02 2024
Car Wash,Rose Royce,September 1976,"Disco, funk",5:06,MCA,Norman Whitfield,Norman Whitfield,,,September 1976
Cathy's Clown,the Everly Brothers,April 1960,Pop,2:22,Warner Bros.,Don Everly,Wesley Rose,,,April 1960
Cat's in the Cradle,Harry Chapin,1974,"Folk rock, soft rock",3:29,Elektra,"Harry Chapin, Sandra Chapin",Paul Leka,,,1974
Celebration,Kool & the Gang,October 1980,"Post-disco, funk",3:42,De-Lite,"Ronald Nathan Bell, Claydes Charles Smith, George Melvin Brown, James, J.T, Taylor, Robert Spike Mickens, Earl Eugene Toon Jr, Dennis Ronald Thomas, Robert Earl Bell, Eumir Deodato","Eumir Deodato, Kool & the Gang",,,October 1980
Centerfold,The J. Geils Band,"September 13, 1981","Power pop, pop rock, synth-rock",3:365,EMI America,Seth Justman,Seth Justman,,,13 09 1981
Chapel of Love,The Dixie Cups,April 1964,Pop,2:45,Red Bird,"Jeff Barry, Ellie Greenwich, Phil Spector","Jerry Leiber, , , Mike Stoller, , Ellie Greenwich and Jeff Barry",,,April 1964
Chariots of Fire,Vangelis,April 1981,"Orchestral pop, film score, symphonic",3:32,Polydor,Vangelis,Vangelis,,,April 1981
Cheap Thrills,"Sia, Sean Paul",17 December 2015,"Dancehall, pop",3:44,"Inertia, Monkey Puzzle, RCA","Sia Furler, Greg Kurstin, Sean Paul Henriques, remix)",Greg Kurstin,,,17 December 2015
Check on It,"Beyoncé, Slim Thug, Bun B","October 11, 2005","R&B, hip hop",3:30,"Columbia, Music World","Beyoncé Knowles, Kasseem Dean, Bernard Freeman, Sean Garrett, Angela Beyincé, Stayve Thomas",Swizz Beatz,,,11 10 2005
Cheerleader,Omi,2012,"Reggae fusion, (original version), deep house, (, Felix Jaehn, remix)",2:54,"Oufah, Ultra, Columbia","Omar Samuel Pasley, Clifton Dillon, Mark Bradford, Darren Moran, Ryan Dillon, Sly Dunbar","OMI, Clifton Dillon, Felix Jaehn",,,2012
Cherish,the Association,August 1966,"Pop, soft rock",3:25,Valiant,Terry Kirkman,Curt Boettcher,,,August 1966
Circles,Post Malone,"August 30, 2019",Soft rock,3:35,Republic,"Austin Post, Louis Bell, Adam Feeney, Kaan Gunesberk, Billy Walsh","Post Malone, Louis Bell, Frank Dukes",,,30 08 2019
Closer,"the Chainsmokers, Halsey","July 29, 2016","Future bass, electropop",4:04,"Disruptor, Columbia","Andrew Taggart, Ashley Frangipane, Shaun Frank, Frederic Kennett, Isaac Slade, Joe King",The Chainsmokers,,,29 07 2016
Close to You,Maxi Priest,1990,"Pop, dance-pop, R&B, soul, reggae fusion, new jack swing",3:37,Charisma,"Maxi Priest, Gary Benson, Winston Sela","Handel Tucker, Geoffrey Chung, Lowell ""Sly"" Dunbar",,,1990
Cold Hearted,Paula Abdul,"June 2, 1989","New jack swing, dance-pop",3:51,Virgin,Elliot Wolff,Elliot Wolff,,,02 06 1989
Come On Eileen,Dexys Midnight Runners and the Emerald Express,"June 25, 1982","New wave, Celtic folk, blue-eyed soul, pop, pop rock",4:12,Mercury,"Kevin Rowland, Jim Paterson, Billy Adams","Clive Langer, Alan Winstanley",,,25 06 1982
Come On Over Baby,Christina Aguilera,"July 11, 2000","Bubblegum pop, dance-pop",3:09,RCA,"Johan Åberg, Paul Rein, Christina Aguilera, Ron Fair, Chaka Blackmon, Raymond Cham, Eric Dawkins, Shelly Peiken, Guy Roche","Ron Fair, Celebrity Status",,,11 07 2000
Come See About Me,the Supremes,"October 27, 1964","Pop, R&B",2:39,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,27 10 1964
Come Softly to Me,The Fleetwoods,"February 16, 1959",Pop,2:25,"Dolphin Records,  Liberty Records","Gretchen Christopher, Barbara Ellis and Gary Troxel",Bob Reisdorff,,,16 02 1959
Come Together,the Beatles,6 October 1969,"Blues rock, swamp rock, rock and roll",4:19,Apple,Lennon–McCartney,George Martin,,,6 October 1969
Coming Out of the Dark,Gloria Estefan,"January 10, 1991","Dance-pop, gospel, soul",4:02,Epic,"Gloria Estefan, Emilio Estefan Jr, Jon Secada","Emilio Estefan Jr., Jorge Casas, Clay Ostwald",,,10 01 1991
Coming Up,Paul McCartney,11 April 1980,"Funk rock, new wave, disco",3:49,"Parlophone, (UK), Columbia, (US)",Paul McCartney,Paul McCartney,,,11 April 1980
Confessions Part II,Usher,"June 1, 2004",R&B,3:49,Arista,"Usher Raymond, Jermaine Dupri, Bryan-Michael Cox","Jermaine Dupri, Bryan-Michael Cox",,,01 06 2004
Convoy,C. W. McCall,November 1975,"Country, truck-driving country",3:49,MGM,"Bill Fries, Chip Davis","Don Sears, Chip Davis",,,November 1975
Could've Been,Tiffany,"November 20, 1987",Pop,3:32,MCA Records,Lois Blaisch,George Tobin,,,20 11 1987
Cracklin' Rosie,Neil Diamond,"July 30, 1970","Soft rock, pop",2:54,Uni,Neil Diamond,Tom Catalano,,,30 07 1970
Crack a Bottle,"Eminem, Dr. Dre, 50 Cent","February 2, 2009",Hip hop,4:57,"Aftermath, Shady, Interscope","Marshall Mathers, Andre Young, Curtis Jackson, Mark Batson, Dawaun Parker, Trevor Lawrence, Jr, Jean Renard",Dr. Dre,,,02 02 2009
Crank That,Soulja Boy Tell'em,"May 2, 2007","Pop-rap, snap",3:42,"Collipark, Interscope, HHH",DeAndre Way,Soulja Boy,,,02 05 2007
Crazy for You,Madonna,"March 2, 1985",Pop,4:08,"Geffen, CBS","John Bettis, Jon Lind","John ""Jellybean"" Benitez",,,02 03 1985
Crazy in Love,"Beyoncé, Jay-Z","May 18, 2003","Pop, hip hop, R&B",3:56,Columbia,"Beyoncé Knowles, Rich Harrison, Eugene Record, Shawn Carter","Beyoncé Knowles, Rich Harrison",,,18 05 2003
Crazy Little Thing Called Love,Queen,12 October 1979,"Rock and roll, rockabilly",2:42,"EMI, (UK), Elektra, (US)",Freddie Mercury,"Queen, Reinhold Mack",,,12 October 1979
Cream,"Prince, the New Power Generation","September 9, 1991","Pop, funk, glam rock, R&B",4:12,"Paisley Park, Warner Bros.",Prince,Prince,,,09 09 1991
Creep,TLC,"October 13, 1994",R&B,4:29,"LaFace, Arista",Dallas Austin,Dallas Austin,,,13 10 1994
Crimson and Clover,Tommy James and the Shondells,November 1968,"Psychedelic pop, psychedelic rock, bubblegum pop",5:32,"Roulette,  R-7028","Tommy James, Peter Lucia",Tommy James,,,November 1968
Crocodile Rock,Elton John,27 October 1972,"Rock and roll, glam rock, pop rock",3:56,"DJM, (UK), MCA, (US)","Elton John, Bernie Taupin",Gus Dudgeon,,,27 October 1972
Cruel Summer,Taylor Swift,"June 13, 2023","Synth-pop, electropop, industrial pop",2:58,Republic,"Taylor Swift, Jack Antonoff, Annie Clark","Taylor Swift, Jack Antonoff",,,13 06 2023
Dancing Queen,ABBA,16 August 1976,"Disco, Europop",3:50,"Polar, Epic, Atlantic","Benny Andersson, Björn Ulvaeus, Stig Anderson","Benny Andersson, Björn Ulvaeus",,,16 August 1976
Dark Horse,"Katy Perry, Juicy J","December 17, 2013","Trap, hip hop, pop rap, electropop",3:35,Capitol,"Katy Perry, Jordan Houston, Lukasz Gottwald, Sarah Hudson, Max Martin, Henry Walter","Dr. Luke, Max Martin, Cirkut",,,17 12 2013
Dark Lady,Cher,December 1973,Pop,3:27,MCA,Johnny Durrill,Snuff Garrett,,,December 1973
Daydream Believer,the Monkees,"October 25, 1967","Psychedelic pop, baroque pop",3:00,"Colgems, #1012",John Stewart,Chip Douglas,,,25 10 1967
Da Doo Ron Ron,the Crystals,April 1963,"R&B, pop, rock and roll",2:18,Philles,"Phil Spector, Jeff Barry, Ellie Greenwich",Phil Spector,,,April 1963
Da Ya Think I'm Sexy?,Rod Stewart,10 November 1978,Disco,5:31,Warner Bros.,"Rod Stewart, Carmine Appice, Duane Hitchings",Tom Dowd,,,10 November 1978
"December, 1963",the Four Seasons,December 1975,"Disco, doo-wop, pop, soft rock",3:36,"Warner Bros., Curb","Bob Gaudio, Judy Parker",Bob Gaudio,,,December 1975
Deep Purple,,,,,,,,"Mitchell Parish, (added 1938)",Peter DeRose,
Delta Dawn,,1971,"Country, folk rock",4:02,Capitol,"Larry Collins, Alex Harvey",Michael Sunday,,,1971
Despacito,"Luis Fonsi, Daddy Yankee","January 13, 2017","Reggaeton, Latin pop",3:47,Universal Latin,"Luis Fonsi, Erika Ender, Daddy Yankee","Mauricio Rengifo, Andrés Torres",,,13 01 2017
Diamonds,Rihanna,"September 26, 2012","Pop, electronic, R&B",3:45,"Def Jam, SRP","Sia Furler, Benjamin Levin, Mikkel S, Eriksen, Tor Erik Hermansen","Benny Blanco, Stargate",,,26 09 2012
Didn't We Almost Have It All,Whitney Houston,July 1987,"Orchestral pop, R&B, soul",5:05,Arista,"Michael Masser, Will Jennings",Michael Masser,,,July 1987
Die for You,the Weeknd,"September 19, 2017",R&B,4:20,"XO, Republic","Abel Tesfaye, Martin McKinney, Mejdi Rhars, Dylan Wiggins, Magnus Høiberg, William Thomas Walsh, Henry Walter","Doc McKinney, Cirkut, The Weeknd, Cashmere Cat, Prince 85",,,19 09 2017
Dilemma,"Nelly, Kelly Rowland","June 25, 2002","Pop, R&B",4:49,"Universal, Columbia","Nelly, Antoine, Bam, Macon, Ryan Bowser, Kenneth Gamble, Bunny Sigler","Macon, Bowser",,,25 06 2002
Dirty Diana,Michael Jackson,"April 18, 1988","Pop rock, hard rock, glam metal",4:52,Epic,Michael Jackson,"Quincy Jones, Michael Jackson (, co., )",,,18 04 1988
Disco Duck,Rick Dees,"September 4, 1976","Disco, novelty",3:17,"Fretone (initial release), RSO, (wide distribution)",Rick Dees,Bobby Manuel,,,04 09 1976
Disco Lady,Johnnie Taylor,January 1976,"Soul, disco",4:02,Columbia,"Harvey Scales, Albert Vance, Don Davis",Don Davis,,,January 1976
Disturbia,Rihanna,"June 17, 2008","Dance-pop, electropop",3:59,"Def Jam, SRP","Brian Kennedy, Chris Brown, Robert Allen, Andre Merritt","Brian Kennedy, Makeba Riddick",,,17 06 2008
Dizzy,Tommy Roe,"November 13, 1968",Bubblegum pop,2:52,ABC,"Tommy Roe, Freddy Weller",Steve Barri,,,13 11 1968
Doesn't Really Matter,Janet Jackson,"May 23, 2000","Electropop, R&B, dance",4:18,"Def Jam, Virgin","Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson",,,23 05 2000
Dominique,Sœur Sourire,October 1963,Folk,2:53,Philips,Jeanine Deckers,,,,October 1963
Don't Break the Heart That Loves You,Connie Francis,January 1962,Country,2:58,"MGM Records, K 13059","Benny Davis, Murray Mencher","Danny Davis, , Arnold Maxin",,,January 1962
Don't Forget About Us,Mariah Carey,"October 10, 2005","R&B, hip hop soul",3:53,Island,"Mariah Carey, Jermaine Dupri, Johntá Austin, Bryan-Michael Cox","Mariah Carey, Jermaine Dupri, Bryan-Michael Cox",,,10 10 2005
Don't Give Up on Us,David Soul,1976,Soft rock,3:32,"Private Stock, ",Tony Macaulay,Tony Macaulay,,,1976
Don't Go Breaking My Heart,"Elton John, Kiki Dee",25 June 1976,"Pop, disco",4:31,"Rocket, (UK), MCA, (US)","Elton John, Bernie Taupin",Gus Dudgeon,,,25 June 1976
Don't Leave Me This Way,Harold Melvin & the Blue Notes,November 1975,"Rhythm and blues, soul, disco",6:08,Philadelphia International,"Kenneth Gamble, Leon Huff, Cary Gilbert","Kenneth Gamble, Leon Huff",,,November 1975
Don't Let the Sun Go Down on Me,Elton John,24 May 1974,Orchestral pop,5:35,"MCA, DJM, Rocket, Phonogram","Elton John, Bernie Taupin",Gus Dudgeon,,,24 May 1974
Don't Matter,Akon,"January 19, 2007","Reggae fusion, R&B",4:54,"Konvict, UpFront, SRC, Universal","Aliaune Thiam, Anthony Lawson, Bob Marley",Akon,,,19 01 2007
Don't Stop 'Til You Get Enough,Michael Jackson,"July 10, 1979","Disco, funk",7:41,Epic,Michael Jackson,"Quincy Jones, Michael Jackson",,,10 07 1979
Don't Wanna Lose You,Gloria Estefan,"June 21, 1989",Pop,4:12,Epic,Gloria Estefan,"Emilio Estefan, Jr., Jorge Casas, Clay Ostwald",,,21 06 1989
"Don't Worry, Be Happy",Bobby McFerrin,"July 24, 1988","Reggae, jazz, pop",4:54,"EMI-Manhattan, ",Bobby McFerrin,Linda Goldstein,,,24 07 1988
Don't You Want Me,the Human League,27 November 1981,"Synth-pop, new pop, new wave",3:57,Virgin,"Jo Callis, Philip Oakey, Philip Adrian Wright",Martin Rushent,,,27 November 1981
Don't You,Simple Minds,February 1985,"New wave, pop, pop rock, synth-pop",4:20,"Virgin, A&M, (US)","Keith Forsey, Steve Schiff",Keith Forsey,,,February 1985
Doo Wop,Lauryn Hill,"August 10, 1998","Doo-wop, hip hop, R&B",5:20,"Ruffhouse, Columbia",Lauryn Hill,Lauryn Hill,,,10 08 1998
Downtown,Petula Clark,November 1964,Pop,3:05,"Pye, 7N 15722 (UK), Warner Bros., 5494 (US)",Tony Hatch,Tony Hatch,,,November 1964
Down Under,Men at Work,2 November 1981,"New wave, pop rock, pub rock, reggae",3:42,Columbia,,Peter McIan,Colin Hay,"Colin Hay, Ron Strykert",2 November 1981
Down,"Jay Sean, Lil Wayne",31 May 2009,"Electropop, R&B",3:32,"Jayded, 2Point9, Cash Money, Universal Republic","Kamaljit Jhooti, Dwayne Carter, Jared Cotter, J-Remy, Bobby Bass, Jonathan Perkins","J-Remy, Bobby Bass",,,31 May 2009
Do I Make You Proud,Taylor Hicks,"June 13, 2006",Soul,4:13,"19, Arista","Tracy Ackerman, Andy Watkins, Paul Wilson","Absolute, Dave Way",,,13 06 2006
Do That to Me One More Time,Captain & Tennille,October 1979,"Soft rock, easy listening, middle-of-the-road",3:45,Casablanca,Toni Tennille,Daryl Dragon,,,October 1979
Do Wah Diddy Diddy,Manfred Mann,10 July 1964,Rock,2:23,"HMV, POP 1320 (UK),  Ascot (US), Capitol (Canada)","Jeff Barry, Ellie Greenwich",John Burgess,,,10 July 1964
Dreamlover,Mariah Carey,27 July 1993,"Pop, R&B, dance, new jack swing",3:53,Columbia,,"Mariah Carey, Dave Hall, Walter Afanasieff",Mariah Carey,"Mariah Carey, Dave Hall",27 July 1993
Dreams,Fleetwood Mac,24 March 1977,Soft rock,4:18,Warner Bros.,Stevie Nicks,"Fleetwood Mac, Ken Caillat, Richard Dashut",,,24 March 1977
Drivers License,Olivia Rodrigo,"January 8, 2021","Bedroom pop, alt-pop, power pop",4:02,"Geffen, Interscope","Olivia Rodrigo, Dan Nigro",Dan Nigro,,,08 01 2021
Drop It Like It's Hot,"Snoop Dogg, Pharrell","September 27, 2004",Hip hop,4:30,"Doggystyle, Star Trak, Geffen","Chad Hugo, Calvin Broadus, Pharrell Williams, Tim Stahl, John Guldberg",The Neptunes,,,27 09 2004
Duke of Earl,Gene Chandler,November 1961,"R&B, doo-wop",2:27,Vee-Jay,"Gene Chandler, Earl Edwards, Bernice Williams",Bill Sheppard,,,November 1961
Dynamite,BTS,"August 21, 2020","Disco, pop",3:19,"Big Hit, Columbia, Sony Music","David Stewart, Jessica Agombar",David Stewart,,,21 08 2020
Easier Said Than Done,The Essex,May 1963,Pop,2:08,Roulette,"William Linton, Larry Huff","George Goldner, , , Henry Glover",,,May 1963
Easy on Me,Adele,15 October 2021,,3:44,Columbia,"Adele Adkins, Greg Kurstin",Greg Kurstin,,,15 October 2021
Ebony and Ivory,"Paul McCartney, Stevie Wonder",29 March 1982,"Pop, soft rock",3:42,"Parlophone, /, EMI, (UK), Columbia, (US)",Paul McCartney,George Martin,,,29 March 1982
Eight Days a Week,the Beatles,4 December 1964,Pop rock,2:44,Capitol,Lennon–McCartney,George Martin,,,4 December 1964
El Paso,Marty Robbins,"October 26,1959","Country, Tex-Mex",4:38,Columbia,Marty Robbins,Don Law,,,"October 26,1959"
Emotions,Mariah Carey,"August 13, 1991","R&B, dance, post-disco, house, dance-pop",4:08,Columbia,,"David Cole, Robert Clivillés, Mariah Carey",Mariah Carey,"Mariah Carey, David Cole, Robert Clivillés",13 08 1991
Empire State of Mind,"Jay-Z, Alicia Keys","October 20, 2009","Hip hop, pop rap",4:36,"Roc Nation, Atlantic","Shawn Carter, Alexander Shuckburgh, Janet Sewell-Ulepic, Angela Hunte, Alicia Keys, Sylvia Robinson, Bert Keyes","Al Shux, Janet Sewell-Ulepic, Angela Hunte",,,20 10 2009
Endless Love,"Diana Ross, Lionel Richie",26 June 1981,R&B,4:24,Motown,Lionel Richie,Lionel Richie and James Anthony Carmichael,,,26 June 1981
End of the Road,Boyz II Men,"June 30, 1992",R&B,5:48,"LaFace, Arista, Motown","Kenneth, Babyface, Edmonds, Antonio, L.A, Reid, Daryl Simmons","Kenneth ""Babyface"" Edmonds, Antonio ""L.A."" Reid, Daryl Simmons (co.)",,,30 06 1992
Escapade,Janet Jackson,"January 8, 1990","Dance-pop, new jack swing",4:44,A&M,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson",,,08 01 1990
Escape,Rupert Holmes,"September 17, 1979",Soft rock,4:36,Infinity,Rupert Holmes,"Rupert Holmes, Jim Boyer",,,17 09 1979
Eternal Flame,the Bangles,"January 23, 1989",Soft rock,3:56,"CBS, Liberation (Australia)",,Davitt Sigerson,"Susanna Hoffs, Billy Steinberg",Tom Kelly,23 01 1989
Evergreen,Barbra Streisand,December 1976,Vocal pop,3:04,Columbia,"Barbra Streisand, Paul Williams","Barbra Streisand, Phil Ramone",,,December 1976
Everybody Is a Star,Sly and the Family Stone,December 1969,Soul,3:00,"Epic, 5-10555",Sly Stone,Sly Stone,,,December 1969
Everybody Loves Somebody,Dean Martin,June 1964,Traditional pop,2:48,Reprise,"Sam Coslow, Irving Taylor, Ken Lane",Jimmy Bowen,,,June 1964
Everybody's Somebody's Fool,Connie Francis,"April 7, 1960",Country,2:37,MGM,"Jack Keller, Howard Greenfield",Arnold Maxin,,,07 04 1960
Everybody Wants to Rule the World,Tears for Fears,22 March 1985,"New wave, synth-pop, dance-rock",4:12,"Phonogram, Mercury, Vertigo","Roland Orzabal, Ian Stanley, Chris Hughes",Chris Hughes,,,22 March 1985
Everyday People,Sly and the Family Stone,November 1968,"Rock, pop, psychedelic soul",2:22,"Epic, 5-10407",Sly Stone,Sly Stone,,,November 1968
Everything Is Beautiful,Ray Stevens,March 1970,"Pop, country, soft rock",3:29,Barnaby,Ray Stevens,Ray Stevens,,,March 1970
Everything She Wants,Wham!,3 December 1984,"Synth-pop, R&B",5:01,Columbia,George Michael,George Michael,,,3 December 1984
Everything You Want,Vertical Horizon,"October 19, 1999","Pop rock, soft rock, alternative rock",4:17,"RCA, BMG",Matthew Scannell,"Mark Endert, Ben Grosse",,,19 10 1999
Everytime You Go Away,Hall & Oates,"July 29, 1980","Blue-eyed soul, gospel",5:23,RCA,Daryl Hall,"Daryl Hall, John Oates",,,29 07 1980
Every Breath You Take,the Police,20 May 1983,"New wave, soft rock",3:56,"A&M, (AM 117)",Sting,"The Police, Hugh Padgham",,,20 May 1983
Every Rose Has Its Thorn,Poison,1988,"Glam metal, hard rock, acoustic rock, country rock",4:20,Capitol,"Bret Michaels, C.C, DeVille, Bobby Dall, Rikki Rockett",Tom Werman,,,1988
Eve of Destruction,Barry McGuire,"July 16, 1965","Folk rock, pop",3:35,"Dunhill, (USA), RCA Victor, (outside the USA)","P, F, Sloan","Lou Adler, , , P. F. Sloan, , , Steve Barri",,,16 07 1965
Exhale,Whitney Houston,"November 6, 1995",R&B,3:25,Arista,Babyface,Babyface,,,06 11 1995
Eye of the Tiger,Survivor,May 1982,"Hard rock, AOR",4:04,"EMI, Scotti Brothers","Frankie Sullivan, Jim Peterik","Frankie Sullivan, Jim Peterik",,,May 1982
E.T.,"Katy Perry, Kanye West","February 11, 2011","Electronic, hip hop",3:28,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Joshua Coleman","Dr. Luke, Max Martin, Ammo",,,11 02 2011
Faith,George Michael,12 October 1987,"Pop, rock and roll, rockabilly, R&B",3:16,Columbia,George Michael,George Michael,,,12 October 1987
Fallin' in Love,"Hamilton, Joe Frank & Reynolds","May 2, 1975","Soft rock, rhythm & blues",3:04,Playboy,"Dan Hamilton, Ann Hamilton",Jim Price,,,02 05 1975
